Date,Ready,Dev,Test,Deployed
2012-02-01,10,0,0,0
2012-02-02,8,1,1,0
2012-02-03,5,2,1,2
2012-02-04,7,3,2,2
2012-02-05,7,3,0,4
2012-02-06,6,3,1,4
2012-02-07,8,3,0,5
2012-02-08,9,4,0,5
2012-02-09,10,2,2,7
2012-02-10,9,1,3,8
2012-02-11,10,2,2,9
2012-02-12,12,2,1,10
2012-02-13,10,2,2,12
2012-02-14,8,2,2,14
2012-02-15,8,2,2,16
2012-02-16,7,1,2,18
2012-02-17,5,2,2,19
2012-02-18,5,1,1,21
2012-02-19,4,1,1,22
2012-02-20,4,2,2,23
2012-02-21,3,2,1,25
2012-02-22,3,2,2,27
2012-02-23,4,3,1,29
2012-02-24,4,2,2,30